Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Peru,PER,1980,,91098,91098,593479,130954,,,,324538
Philippines,PHL,1980,,767495,816484,1695718,,,,,914463
Poland,POL,1980,,630479,630479,677763,604209,,,,610777
Portugal,PRT,1980,,115145,28392,153937,85176,,,,
Puerto Rico,PRI,1980,,,,72513,,,,,
Qatar,QAT,1980,,4343,4343,7464,1851,,,,285
Reunion,REU,1980,,,,13159,,,,,
Romania,ROU,1980,,,,384970,,,,,
Russia,RUS,1980,,,,2199950,,,,,
Rwanda,RWA,1980,,,,253193,,,,,
Saint Barthelemy,BLM,1980,,,,42,,,,,
Saint Helena,SHN,1980,,,,130,,,,,
Saint Kitts and Nevis,KNA,1980,,595,808,1050,,,,,
Saint Lucia,LCA,1980,,2344,2428,3898,,,,,1130
Saint Martin (French part),MAF,1980,,,,212,,,,,
Saint Pierre and Miquelon,SPM,1980,,,,94,,,,,
Saint Vincent and the Grenadines,VCT,1980,,812,812,3017,,,,,
Samoa,WSM,1980,,1521,1521,5423,,,,,3776
San Marino,SMR,1980,,,,228,,,,,
Sao Tome and Principe,STP,1980,,,,3777,,,,,
Saudi Arabia,SAU,1980,,158062,158062,265223,30841,,,,127221
Senegal,SEN,1980,,,,260163,,,,,
Serbia,SRB,1980,,,,112395,,,,,
Seychelles,SYC,1980,,,,1587,,,,,
Sierra Leone,SLE,1980,,,,133608,,,,,
Singapore,SGP,1980,,32795,32405,38819,18350,,,,33186
Sint Maarten (Dutch part),SXM,1980,,,,331,,,,,
Slovakia,SVK,1980,,,,95576,,,,,
Slovenia,SVN,1980,,,,30666,,,,,
Small island developing states (SIDS),,1980,,,,1113457,,,,,
Solomon Islands,SLB,1980,,4040,3777,9607,,,,,5709
Somalia,SOM,1980,,,18258,256284,20541,,,,13694
South Africa,ZAF,1980,,,,973768,,,,,
South Korea,KOR,1980,,,,809197,31983,,,,
South Sudan,SSD,1980,,,,197727,,,,,
Spain,ESP,1980,,,,593488,,,,,
Sri Lanka,LKA,1980,,183151,183151,411618,,,,,242875
Sudan,SDN,1980,,6685,6685,712864,,,,,13370
Suriname,SUR,1980,,2403,2307,10223,,,,,
Sweden,SWE,1980,,94015,92116,96352,83569,,,,2849
Switzerland,CHE,1980,,,,72002,,,,,
Syria,SYR,1980,,46430,46430,372978,46430,,,,125005
Taiwan,TWN,1980,,,,416228,,,,,
Tajikistan,TJK,1980,,,,150025,,,,,
Tanzania,TZA,1980,,463516,447803,848100,361385,,,,565646
Thailand,THA,1980,,561718,217809,1156259,,,,,779527
Togo,TGO,1980,,,,123918,,,,,
Tokelau,TKL,1980,,,,46,,,,,
Tonga,TON,1980,,1164,582,3128,,,,,2881
Trinidad and Tobago,TTO,1980,,7889,11530,30820,,,,,
Tunisia,TUN,1980,,,,221723,,,,,
Turkey,TUR,1980,,552536,828803,1426632,355201,,,,
Turkmenistan,TKM,1980,,,,95897,,,,,
Turks and Caicos Islands,TCA,1980,,,,202,,,,,
Tuvalu,TUV,1980,,77,49,231,,,,,211
Uganda,UGA,1980,,,,583548,,,,,
Ukraine,UKR,1980,,,,735049,,,,,
United Arab Emirates,ARE,1980,,3083,3083,30858,9528,,,,4203
United Kingdom,GBR,1980,,286804,566612,728109,370746,,370746,,
United States,USA,1980,,3089067,3056889,3661759,2767289,,2767289,,
United States Virgin Islands,VIR,1980,,,,2294,,,,,
Upper-middle-income countries,,1980,,,,43159892,,,,,
Uruguay,URY,1980,,29284,32599,53839,27626,,,,30941
Uzbekistan,UZB,1980,,,,509060,,,,,
Vanuatu,VUT,1980,,,,4388,,,,,
Vatican,VAT,1980,,,,6,,,,,
Venezuela,VEN,1980,,266253,451678,489668,237726,,,,342325
