Entity,Code,Year,Number of one-year-olds vaccinated with HepB3,"Number of one-year-olds vaccinated with DTP containing vaccine, 3rd dose","Number of one-year-olds vaccinated with polio, 3rd dose",Population - Sex: all - Age: 0 - Variant: estimates,"Number of one-year-olds vaccinated with measles-containing vaccine, 1st dose",Number of one-year-olds vaccinated with Hib3,"Number of one-year-olds vaccinated with rubella-containing vaccine, 1st dose","Number of one-year-olds vaccinated with rotavirus, last dose",Number of one-year-olds vaccinated with BCG
Pakistan,PAK,2004,3228335,3540755,3488685,5379056,3280405,,,,4061454
Palau,PLW,2004,268,268,268,277,270,268,270,,
Palestine,PSE,2004,113657,113657,113657,121952,113657,,111289,,116025
Panama,PAN,2004,66874,66874,64762,71686,68282,66874,68282,,69690
Papua New Guinea,PNG,2004,114159,117964,112256,200548,146504,,,,169336
Paraguay,PRY,2004,117112,119715,119715,126707,118414,119715,118414,,126221
Peru,PER,2004,550014,514143,484251,604648,508165,573927,508165,,567949
Philippines,PHL,2004,1055537,1935152,1869181,2327268,2023113,,,,2001123
Poland,POL,2004,349612,353180,353180,351706,346045,,346045,,335342
Portugal,PRT,2004,105520,106642,106642,110419,106642,106642,106642,,93172
Puerto Rico,PRI,2004,,,,49731,,,,,
Qatar,QAT,2004,12067,11942,11818,12547,12316,11942,12316,,12316
Reunion,REU,2004,,,,15287,,,,,
Romania,ROU,2004,208224,204017,204017,212178,204017,,204017,,208224
Russia,RUS,2004,1362025,1376213,1390400,1481370,1390400,,1390400,,1362025
Rwanda,RWA,2004,278519,278519,278519,337486,262872,278519,,,269131
Saint Barthelemy,BLM,2004,,,,87,,,,,
Saint Helena,SHN,2004,,,,50,,,,,
Saint Kitts and Nevis,KNA,2004,717,717,717,734,732,710,732,,665
Saint Lucia,LCA,2004,2391,2391,2391,2627,2496,2391,2496,,2601
Saint Martin (French part),MAF,2004,,,,730,,,,,
Saint Pierre and Miquelon,SPM,2004,,,,59,,,,,
Saint Vincent and the Grenadines,VCT,2004,1973,1973,1973,1937,1973,1973,1973,,1973
Samoa,WSM,2004,3371,3425,1903,5335,1359,,1359,,5056
San Marino,SMR,2004,294,294,291,304,291,288,291,,
Sao Tome and Principe,STP,2004,3875,5314,5480,5772,5037,,,,5480
Saudi Arabia,SAU,2004,540950,540950,540950,464040,546585,540950,546585,,535316
Senegal,SEN,2004,200131,322433,322433,397166,211249,,,,352082
Serbia,SRB,2004,71981,71173,77643,71733,71981,,71981,,78452
Seychelles,SYC,2004,1441,1441,1441,1464,1441,,1441,,1441
Sierra Leone,SLE,2004,,130100,138106,207356,152117,,,,172132
Singapore,SGP,2004,41422,41863,41863,41097,41863,,41863,,43625
Sint Maarten (Dutch part),SXM,2004,,,,501,,,,,
Slovakia,SVK,2004,50442,50442,50442,52439,50442,50442,50442,,49933
Slovenia,SVN,2004,,16742,16742,17552,16742,16742,16742,,17099
Small island developing states (SIDS),,2004,,,,1243114,,,,,
Solomon Islands,SLB,2004,12396,13774,13621,15841,13314,,,,15151
Somalia,SOM,2004,,126314,126314,471097,168418,,,,210523
South Africa,ZAF,2004,696143,677824,668664,1018832,577066,686984,,,714463
South Korea,KOR,2004,453454,433739,443596,473360,487956,,487956,,458383
South Sudan,SSD,2004,,,,306935,,,,,
Spain,ESP,2004,423923,423923,423923,449080,423923,423923,423923,,
Sri Lanka,LKA,2004,218616,342028,342028,365968,338502,,338502,,349080
Sudan,SDN,2004,,712360,712360,1150339,644974,,,,635348
Suriname,SUR,2004,,9503,9391,11170,9615,,9615,,
Sweden,SWE,2004,,97368,97368,100161,94418,97368,94418,,17703
Switzerland,CHE,2004,,67059,68501,72191,59127,65616,59127,,
Syria,SYR,2004,430820,425566,441328,523599,430820,425566,430820,,472851
Taiwan,TWN,2004,,,,211734,,,,,
Tajikistan,TJK,2004,149721,158963,151570,189734,170054,,,,175599
Tanzania,TZA,2004,1349643,1349643,1349643,1480122,1335436,,,,1292816
Thailand,THA,2004,801129,817819,817819,904461,801129,,801129,,826164
Togo,TGO,2004,,134123,134123,198911,132234,,,,171904
Tokelau,TKL,2004,,,,34,,,,,
Tonga,TON,2004,2889,2889,2889,2987,2889,,2889,,2889
Trinidad and Tobago,TTO,2004,18505,18505,18505,18814,18702,18505,18702,,
Tunisia,TUN,2004,157067,158703,158703,167195,155430,158703,,,158703
Turkey,TUR,2004,964845,1065088,1065088,1300864,1014966,,,,1065088
Turkmenistan,TKM,2004,94876,95864,96852,111109,95864,,,,97841
Turks and Caicos Islands,TCA,2004,,,,435,,,,,
Tuvalu,TUV,2004,220,220,220,232,218,,,,223
Uganda,UGA,2004,695405,695405,650540,1181905,740270,695405,,,987026
Ukraine,UKR,2004,387236,391188,391188,417255,391188,,391188,,387236
United Arab Emirates,ARE,2004,53457,54619,54619,61523,54619,54619,54619,,56943
United Kingdom,GBR,2004,,624155,624155,713218,549527,624155,549527,,
United States,USA,2004,3680192,3840201,3680192,3982374,3720194,3760196,3720194,,
United States Virgin Islands,VIR,2004,,,,1641,,,,,
Upper-middle-income countries,,2004,,,,37267056,,,,,
Uruguay,URY,2004,47072,47072,47573,49017,47573,47072,47573,,49576
Uzbekistan,UZB,2004,512140,512140,512140,513102,506967,,,,512140
Vanuatu,VUT,2004,4068,4455,4326,6269,3551,,,,5166
Vatican,VAT,2004,,,,3,,,,,
Venezuela,VEN,2004,474252,497386,480035,583600,462685,347014,462685,,555222
Vietnam,VNM,2004,1342814,1371385,1371385,1417251,1385670,,,,1371385
Wallis and Futuna,WLF,2004,,,,273,,,,,
Western Sahara,ESH,2004,,,,6971,,,,,
World,OWID_WRL,2004,60952339,96507870,96507870,131352408,95238030,24126968,30476170,,105396753
Yemen,YEM,2004,308800,517060,517060,812861,531423,,,,459609
Zambia,ZMB,2004,,359950,364287,464617,368624,359950,,,403318
Zimbabwe,ZWE,2004,272150,260143,268147,427000,264145,,,,304167
Afghanistan,AFG,2005,,572164,572164,1032990,493245,,,,562299
Africa (UN),,2005,,,,33479898,,,,,
Albania,ALB,2005,41092,41092,40673,41931,40673,,40673,,41092
Algeria,DZA,2005,525170,556807,556807,664399,525170,,,,620080
American Samoa,ASM,2005,,,,1373,,,,,
Americas (UN),,2005,,,,15237459,,,,,
Andorra,AND,2005,593,736,736,622,706,728,706,,
Angola,AGO,2005,,359645,107128,813377,160692,,,,390253
Anguilla,AIA,2005,,,,193,,,,,
Antigua and Barbuda,ATG,2005,1251,1251,1239,1240,1251,1251,1251,,
Argentina,ARG,2005,612239,681811,660940,703649,681811,681811,681811,,688769
Armenia,ARM,2005,34621,34240,35001,39312,35762,,35762,,35762
Aruba,ABW,2005,,,,1201,,,,,
Asia (UN),,2005,,,,75314680,,,,,
Australia,AUS,2005,241449,233824,233824,259872,238908,238908,238908,,
Austria,AUT,2005,68500,68500,68500,78297,59738,68500,59738,,
Azerbaijan,AZE,2005,66308,101492,106904,149710,90666,,90666,,110964
Bahamas,BHS,2005,5724,5724,5724,5428,5232,5724,5232,,
Bahrain,BHR,2005,15594,15594,15594,16418,15753,15594,15753,,
Bangladesh,BGD,2005,1573730,3252375,3287346,3648834,3077516,,,,3392262
Barbados,BRB,2005,3305,3305,3269,3688,3341,3305,3341,,
Belarus,BLR,2005,91706,91706,90779,89120,91706,,91706,,91706
Belgium,BEL,2005,89683,112978,112978,117126,102495,110648,102495,,
Belize,BLZ,2005,7159,7159,7159,7457,7084,7159,7084,,7159
Benin,BEN,2005,205752,205752,214570,322873,179299,102876,,,258660
Bermuda,BMU,2005,,,,714,,,,,
Bhutan,BTN,2005,12775,12775,12775,13411,12506,,,,12371
Bolivia,BOL,2005,205518,205518,203100,243526,215190,205518,215190,,212772
Bonaire Sint Eustatius and Saba,BES,2005,,,,222,,,,,
Bosnia and Herzegovina,BIH,2005,36671,36671,37459,39967,35488,19716,35488,,37459
Botswana,BWA,2005,45036,46994,46994,48220,45525,,,,48462
Brazil,BRA,2005,3115569,3147360,3147360,3120430,3115569,3051986,3115569,,3147360
British Virgin Islands,VGB,2005,,,,339,,,,,
Brunei,BRN,2005,6821,6477,6408,6061,6752,6477,6752,,6477
Bulgaria,BGR,2005,66777,66777,67472,69544,66777,,66777,,68168
Burkina Faso,BFA,2005,,433312,496723,566645,443880,,,,523145
Burundi,BDI,2005,248944,248944,234636,321790,248944,248944,,,254666
Cambodia,KHM,2005,,255785,255785,333710,246427,,,,271382
Cameroon,CMR,2005,489629,495827,489629,655524,421453,,,,557806
Canada,CAN,2005,47881,318066,318066,342747,321486,318066,321486,,
Cape Verde,CPV,2005,10523,10749,10749,11127,10410,,,,11202
Cayman Islands,CYM,2005,,,,695,,,,,
Central African Republic,CAF,2005,,82520,71823,164073,94745,,,,113082
Chad,TCD,2005,,104452,154589,477580,112808,,,,171301
Chile,CHL,2005,,210013,212320,231524,207705,210013,207705,,219244
China,CHN,2005,13407356,13886190,13886190,16231693,13726579,,,,13726579
Colombia,COL,2005,758845,758845,758845,819831,767004,758845,767004,,767004
Comoros,COM,2005,12513,12513,12329,19135,12329,,,,14721
Congo,COG,2005,,75406,75406,129267,65676,,,,88784
Cook Islands,COK,2005,301,301,301,306,301,,,,301
Costa Rica,CRI,2005,65704,66434,66434,72218,64974,64974,64974,,70084
Cote d'Ivoire,CIV,2005,530374,530374,607139,781879,586203,,,,593182
Croatia,HRV,2005,,40415,40415,40861,40415,40415,40415,,41257
Cuba,CUB,2005,125626,117692,130916,131359,129593,124304,129593,,130916
Curacao,CUW,2005,,,,2038,,,,,
Cyprus,CYP,2005,10725,11943,11943,12271,10481,7068,10481,,
Czechia,CZE,2005,94548,92638,91683,99714,92638,92638,92638,,94548
Democratic Republic of Congo,COD,2005,,1300865,1300865,2380640,1322546,,,,1561038
Denmark,DNK,2005,,60534,60534,64623,61835,60534,61835,,
Djibouti,DJI,2005,,17024,17024,24620,15585,,,,19182
Dominica,DMA,2005,,1091,1091,1082,1091,,1091,,1091
Dominican Republic,DOM,2005,174880,174880,172870,202788,158799,174880,158799,,192972
East Timor,TLS,2005,,17958,17958,32916,15672,,,,22855
Ecuador,ECU,2005,287210,287210,277845,316976,290332,280966,290332,,309063
Egypt,EGY,2005,1902763,1902763,1902763,2078795,1902763,,1883347,,1902763
El Salvador,SLV,2005,109975,109975,109975,121431,122331,109975,122331,,103796
Equatorial Guinea,GNQ,2005,,12467,14450,35002,13317,,,,20400
Eritrea,ERI,2005,91248,91248,91248,92594,90298,,,,94100
Estonia,EST,2005,12845,12980,12980,14155,12980,5003,12980,,13386
Eswatini,SWZ,2005,28850,26116,26724,32616,28242,,,,28242
Ethiopia,ETH,2005,,1261920,1606080,3099435,1147200,,,,1835520
Europe (UN),,2005,,,,7536907,,,,,
Falkland Islands,FLK,2005,,,,38,,,,,
Faroe Islands,FRO,2005,,,,719,,,,,
Fiji,FJI,2005,20088,19479,19682,20738,18262,20088,18262,,19885
Finland,FIN,2005,,55621,55621,57612,55621,56194,55621,,56194
France,FRA,2005,258084,722635,722635,756730,641523,715262,641523,,597280
French Guiana,GUF,2005,,,,5860,,,,,
French Polynesia,PYF,2005,,,,4676,,,,,
Gabon,GAB,2005,12141,19513,19079,45401,23849,,,,39893
Gambia,GMB,2005,59849,59849,59219,62309,57329,59849,,,62369
Georgia,GEO,2005,36917,38319,38319,49258,42058,,42058,,44394
Germany,DEU,2005,632540,674709,667681,727613,674709,660653,674709,,
Ghana,GHA,2005,592809,592809,599866,727837,585752,592809,,,698668
Gibraltar,GIB,2005,,,,400,,,,,
Greece,GRC,2005,98008,101170,101170,105512,101170,88523,101170,,
Greenland,GRL,2005,,,,851,,,,,
Grenada,GRD,2005,1825,1825,1825,1829,1825,1825,1825,,
Guadeloupe,GLP,2005,,,,6420,,,,,
Guam,GUM,2005,,,,3286,,,,,
Guatemala,GTM,2005,337833,337833,337833,391904,361132,337833,361132,,372781
Guernsey,GGY,2005,,,,612,,,,,
Guinea,GIN,2005,,188559,188559,345147,162991,,,,255673
Guinea-Bissau,GNB,2005,,33691,36168,51826,37654,,,,44095
Guyana,GUY,2005,16008,16008,16008,16059,15836,16008,15836,,16524
Haiti,HTI,2005,,146279,146279,249913,141403,,,,182848
High-income countries,,2005,,,,13042725,,,,,
Honduras,HND,2005,210888,213062,213062,217006,208714,210888,208714,,213062
Hong Kong,HKG,2005,,,,44022,,,,,
Hungary,HUN,2005,,93263,93263,95109,93263,93263,93263,,93263
Iceland,ISL,2005,,4039,4039,4296,3827,4039,3827,,
India,IND,2005,2114614,17181242,17181242,27061118,17974222,,,,22732105
Indonesia,IDN,2005,2916839,3230960,3545082,4653986,3455333,,,,3859203
Iran,IRN,2005,1009714,1020456,1020456,1150382,1009714,,1009714,,1063422
Iraq,IRQ,2005,597735,597735,634518,930664,634518,,533363,,846025
Ireland,IRL,2005,,54500,54500,61144,50867,54500,50867,,18772
Isle of Man,IMN,2005,,,,836,,,,,
Israel,ISR,2005,131594,127482,130223,138355,128852,127482,128852,,
Italy,ITA,2005,530244,524721,535768,556544,480534,524721,480534,,
Jamaica,JAM,2005,47506,47506,47506,48791,40308,47506,40308,,45587
Japan,JPN,2005,,1077785,1044792,1097091,1077785,,1077785,,
Jersey,JEY,2005,,,,1014,,,,,
Jordan,JOR,2005,147281,147281,147281,160708,147281,147281,142630,,137979
Kazakhstan,KAZ,2005,244973,255398,258004,296801,258004,,258004,,179821
Kenya,KEN,2005,952974,952974,877739,1318813,865200,952974,,,1065826
Kiribati,KIR,2005,1286,2032,1903,2710,2186,,2186,,2392
Kosovo,OWID_KOS,2005,,,,32425,,,,,
Kuwait,KWT,2005,38373,38373,38373,42564,38373,38373,38373,,
Kyrgyzstan,KGZ,2005,105864,106955,106955,115862,108047,,108047,,104772
Land-locked developing countries (LLDC),,2005,,,,13097352,,,,,
Laos,LAO,2005,75871,75871,77420,162474,63484,,,,100645
Latin America and the Caribbean (UN),,2005,,,,10874816,,,,,
Latvia,LVA,2005,19766,19766,19766,20962,19567,19766,19567,,19367
Least developed countries,,2005,,,,26540906,,,,,
Lebanon,LBN,2005,65116,65116,62579,87082,53277,65116,53277,,
Lesotho,LSO,2005,45464,46509,45986,52325,43373,,,,50167
Less developed regions,,2005,,,,118851736,,,,,
"Less developed regions, excluding China",,2005,,,,102371184,,,,,
"Less developed regions, excluding least developed countries",,2005,,,,92310832,,,,,
Liberia,LBR,2005,,69449,76394,124703,71764,,,,87968
Libya,LBY,2005,127081,128391,128391,136171,127081,,127081,,129701
Liechtenstein,LIE,2005,,,,374,,,,,
Lithuania,LTU,2005,28000,27706,27411,29120,28590,17979,28590,,29179
Low-income countries,,2005,,,,17247472,,,,,
Lower-middle-income countries,,2005,,,,63689408,,,,,
Luxembourg,LUX,2005,5199,5418,5418,5396,5199,5364,5199,,
Macao,MAC,2005,,,,4149,,,,,
Madagascar,MDG,2005,525262,551200,518777,698112,479869,,,,596593
Malawi,MWI,2005,464933,464933,469932,524104,409941,464933,,,494929
Malaysia,MYS,2005,500566,500566,500566,518551,500566,443210,500566,,510995
Maldives,MDV,2005,5429,5429,5429,5717,5374,,,,5374
Mali,MLI,2005,444179,412070,417422,595786,390664,5352,,,444179
Malta,MLT,2005,3278,3548,3625,3955,3316,3200,3316,,
Marshall Islands,MHL,2005,1391,1204,1375,1587,1344,1078,1344,,1454
Martinique,MTQ,2005,,,,5362,,,,,
Mauritania,MRT,2005,41679,70458,70458,106370,64503,,,,90305
Mauritius,MUS,2005,18952,18952,18952,18434,19147,,19147,,19343
Mayotte,MYT,2005,,,,6107,,,,,
Mexico,MEX,2005,2234297,2234297,2234297,2283033,2188699,2234297,2188699,,2257096
Micronesia (country),FSM,2005,2516,2599,2599,2827,2654,2046,2654,,1936
Moldova,MDA,2005,47229,46752,47229,50369,46275,,46275,,46275
Monaco,MCO,2005,300,300,300,311,291,300,291,,270
Mongolia,MNG,2005,47334,47817,47817,51303,46851,13524,,,47817
Montenegro,MNE,2005,,,,8222,,,,,
Montserrat,MSR,2005,,,,51,,,,,
More developed regions,,2005,,,,13314644,,,,,
Morocco,MAR,2005,595684,608094,608094,635785,601889,,570864,,589479
Mozambique,MOZ,2005,555448,592478,525824,776149,577666,,,,666537
Myanmar,MMR,2005,602802,709751,836145,954073,816700,,,,738919
Namibia,NAM,2005,,45235,45235,54645,38397,,,,49969
Nauru,NRU,2005,222,222,222,282,222,,,,250
Nepal,NPL,2005,276390,505591,525814,661114,498850,,,,586485
Netherlands,NLD,2005,,187235,187235,192464,185284,187235,185284,,
New Caledonia,NCL,2005,,,,4368,,,,,
New Zealand,NZL,2005,49578,50718,50718,58130,46729,45589,46729,,
Nicaragua,NIC,2005,115403,115403,116745,133511,128822,115403,128822,,118087
Niger,NER,2005,,270387,276396,654164,282405,,,,384551
Nigeria,NGA,2005,936863,1873726,2342157,5804476,2133966,,,,2550349
Niue,NIU,2005,30,30,30,35,35,35,35,,34
North Korea,PRK,2005,323670,277934,341261,338598,337742,,,,330706
North Macedonia,MKD,2005,13300,24342,24593,23759,24091,,24091,,24844
Northern America (UN),,2005,,,,4362644,,,,,
Northern Mariana Islands,MNP,2005,,,,1105,,,,,
Norway,NOR,2005,,52410,52410,57030,51834,53561,51834,,
Oceania (UN),,2005,,,,597431,,,,,
Oman,OMN,2005,53212,53212,53212,55041,52674,53212,52674,,52674
Pakistan,PAK,2005,3396295,3291793,3291793,5400487,3187292,,,,4075554
Palau,PLW,2005,268,268,268,275,268,268,268,,
Palestine,PSE,2005,117847,114276,117847,123115,116656,,115466,,117847
Panama,PAN,2005,65692,65692,62836,72204,70690,65692,70690,,70690
Papua New Guinea,PNG,2005,122569,140079,118678,204632,159534,,,,175099
Paraguay,PRY,2005,118693,123853,123853,126370,117403,119983,117403,,126434
Peru,PER,2005,566110,463729,397482,607453,463729,566110,463729,,572133
Philippines,PHL,2005,1089150,1978253,2000480,2331995,2044936,,,,2022708
Poland,POL,2005,350594,354172,354172,358354,350594,78705,350594,,336284
Portugal,PRT,2005,103167,102069,102069,108883,102069,102069,102069,,97679
Puerto Rico,PRI,2005,,,,48096,,,,,
Qatar,QAT,2005,12543,12543,12672,13663,12802,12543,12802,,12802
Reunion,REU,2005,,,,15265,,,,,
Romania,ROU,2005,205363,203267,203267,211827,203267,,203267,,205363
Russia,RUS,2005,1423118,1437789,1437789,1475413,1452461,,1452461,,1423118
Rwanda,RWA,2005,299538,299538,299538,340046,280620,299538,,,286926
Saint Barthelemy,BLM,2005,,,,87,,,,,
Saint Helena,SHN,2005,,,,49,,,,,
Saint Kitts and Nevis,KNA,2005,718,718,718,721,718,718,718,,718
Saint Lucia,LCA,2005,2436,2436,2436,2567,2410,2436,2410,,2487
Saint Martin (French part),MAF,2005,,,,712,,,,,
Saint Pierre and Miquelon,SPM,2005,,,,48,,,,,
Saint Vincent and the Grenadines,VCT,2005,1900,1900,1785,1884,1861,1900,1861,,1823
Samoa,WSM,2005,2757,3189,3567,5323,3081,,3081,,4648
San Marino,SMR,2005,309,312,306,309,306,302,306,,
Sao Tome and Principe,STP,2005,5385,5441,5441,5859,4936,,,,5497
Saudi Arabia,SAU,2005,540791,535216,535216,473958,540791,535216,540791,,535216
Senegal,SEN,2005,319308,319308,319308,403750,281295,68423,,,349718
Serbia,SRB,2005,49399,74479,74479,71372,72959,,72959,,74479
Seychelles,SYC,2005,1449,1449,1449,1470,1449,,1449,,1449
Sierra Leone,SLE,2005,,131107,135141,209072,143209,,,,171448
Singapore,SGP,2005,39527,39527,39527,41127,39527,,39527,,40351
Sint Maarten (Dutch part),SXM,2005,,,,505,,,,,
Slovakia,SVK,2005,51916,51916,51916,53811,51391,51916,51391,,51391
Slovenia,SVN,2005,,17370,17370,18047,17187,17370,17187,,
Small island developing states (SIDS),,2005,,,,1239158,,,,,
Solomon Islands,SLB,2005,12895,13827,13982,16000,13516,,,,14915
Somalia,SOM,2005,,151810,151810,484926,151810,,,,216871
South Africa,ZAF,2005,752454,771504,714356,1060863,609583,781029,,,723880
South Korea,KOR,2005,467918,453738,453738,443812,467918,,467918,,458465
South Sudan,SSD,2005,,,,314130,,,,,
Spain,ESP,2005,436864,436864,436864,460411,441415,436864,441415,,
Sri Lanka,LKA,2005,350935,350935,350935,366325,350935,,350935,,350935
Sudan,SDN,2005,213574,757219,757219,1168358,669847,,,,698971
Suriname,SUR,2005,9313,9313,9425,11044,10210,9313,10210,,
Sweden,SWE,2005,,99004,99004,101323,96984,99004,96984,,20205
Switzerland,CHE,2005,,68048,68048,72703,62980,67324,62980,,
Syria,SYR,2005,446141,430015,446141,530573,435390,430015,435390,,483767
Taiwan,TWN,2005,,,,200679,,,,,
Tajikistan,TJK,2005,149912,155465,146211,194857,157315,,,,179525
Tanzania,TZA,2005,1321401,1321401,1336083,1526395,1336083,,,,1336083
Thailand,THA,2005,792237,808742,808742,891033,792237,,792237,,816995
Togo,TGO,2005,,157762,153914,204035,134675,,,,184697
Tokelau,TKL,2005,,,,31,,,,,
Tonga,TON,2005,2918,2918,2918,2994,2918,2918,2918,,2918
Trinidad and Tobago,TTO,2005,18735,18735,18735,18864,18341,18735,18341,,
Tunisia,TUN,2005,162512,164187,164187,167565,160836,134030,,,164187
Turkey,TUR,2005,1057617,1119830,1119830,1284849,1132272,,,,1094944
Turkmenistan,TKM,2005,99301,99301,99301,112183,99301,,,,99301
Turks and Caicos Islands,TCA,2005,,,,431,,,,,
Tuvalu,TUV,2005,179,211,225,234,141,,141,,225
Uganda,UGA,2005,735972,735972,678475,1205641,781971,735972,,,1034961
Ukraine,UKR,2005,401137,397001,392866,425875,397001,,397001,,397001
United Arab Emirates,ARE,2005,54089,55264,55264,60549,54089,55264,54089,,57616
United Kingdom,GBR,2005,,638021,638021,730090,574920,638021,574920,,
United States,USA,2005,3735936,3856451,3695765,4018284,3695765,3776108,3695765,,
United States Virgin Islands,VIR,2005,,,,1644,,,,,
Upper-middle-income countries,,2005,,,,37585652,,,,,
Uruguay,URY,2005,47364,47364,47364,48783,46870,47364,46870,,48844
Uzbekistan,UZB,2005,511787,511787,511787,519698,511787,,,,480770
Vanuatu,VUT,2005,4001,4460,4395,6393,3476,,,,5313
Vatican,VAT,2005,,,,3,,,,,
Venezuela,VEN,2005,510983,505176,464530,586359,441303,505176,441303,,551629
Vietnam,VNM,2005,1346968,1361298,1346968,1400343,1361298,,,,1361298
Wallis and Futuna,WLF,2005,,,,255,,,,,
Western Sahara,ESH,2005,,,,7161,,,,,
World,OWID_WRL,2005,68990685,98375607,99653212,132166376,98375607,25552106,30662527,,108596449
Yemen,YEM,2005,588837,581476,588837,829195,537314,316500,,,485790
Zambia,ZMB,2005,368064,368064,377041,480772,381529,368064,,,412949
Zimbabwe,ZWE,2005,259671,271656,275651,426284,267661,,,,319595
Afghanistan,AFG,2006,,583006,583006,1053560,532746,,,,603109
Africa (UN),,2006,,,,34307772,,,,,
Albania,ALB,2006,38813,38417,38417,39734,37625,,37625,,38417
Algeria,DZA,2006,529177,628397,628397,702117,601939,,,,654856
American Samoa,ASM,2006,,,,1348,,,,,
Americas (UN),,2006,,,,15258222,,,,,
Andorra,AND,2006,592,656,656,611,642,656,642,,
Angola,AGO,2006,,349924,63623,843470,167009,,,,429452
Anguilla,AIA,2006,,,,195,,,,,
Antigua and Barbuda,ATG,2006,1236,1236,1236,1238,1236,1236,1236,,
Argentina,ARG,2006,589196,638296,645310,708683,680381,638296,680381,,694410
Armenia,ARM,2006,30179,33661,33661,39892,35596,,35596,,35209
Aruba,ABW,2006,,,,1235,,,,,
Asia (UN),,2006,,,,75407208,,,,,
Australia,AUS,2006,247322,239512,239512,270349,244719,247322,244719,,
Austria,AUT,2006,66468,66468,66468,77730,64066,66468,64066,,
Azerbaijan,AZE,2006,74387,111580,114441,155395,98705,,98705,,123024
Bahamas,BHS,2006,5961,5899,5836,5514,5464,5899,5464,,
Bahrain,BHR,2006,16831,16831,16831,17050,17002,16831,17002,,
Bangladesh,BGD,2006,2958843,3234084,3268489,3576810,2855627,,,,3337300
Barbados,BRB,2006,2979,2979,3014,3620,3262,2979,3262,,
Belarus,BLR,2006,91848,92785,90910,92828,90910,,90910,,92785
Belgium,BEL,2006,112280,117058,118253,120041,109891,117058,109891,,
Belize,BLZ,2006,7367,7367,7367,7507,7442,7367,7442,,7291
Benin,BEN,2006,223405,223405,229443,333461,199253,223405,,,280766
Bermuda,BMU,2006,,,,702,,,,,
Bhutan,BTN,2006,12969,12969,13106,13460,12287,,12287,,12560
Bolivia,BOL,2006,201941,201941,199508,246539,214106,201941,214106,,211673
Bonaire Sint Eustatius and Saba,BES,2006,,,,231,,,,,
Bosnia and Herzegovina,BIH,2006,34720,33563,35106,38661,32791,31634,32791,,37421
Botswana,BWA,2006,46692,48198,48198,49886,47194,,,,49704
Brazil,BRA,2006,3141682,3141682,3141682,3083800,3141682,3078214,3141682,1491506,3141682
British Virgin Islands,VGB,2006,,,,361,,,,,
Brunei,BRN,2006,6716,6580,6377,5958,6580,6580,6580,,6716
Bulgaria,BGR,2006,69126,68406,69126,71505,69126,,69126,,70566
Burkina Faso,BFA,2006,414928,469524,513201,587037,480443,414928,,,540498
Burundi,BDI,2006,279034,279034,266902,338799,279034,279034,,,297232
Cambodia,KHM,2006,251771,251771,251771,338871,245477,,,,273801
Cameroon,CMR,2006,516422,516422,497295,673275,465417,,,,612056
Canada,CAN,2006,48364,328183,328183,349642,321274,328183,321274,,
Cape Verde,CPV,2006,10635,10747,10859,11093,10523,,,,11083
Cayman Islands,CYM,2006,,,,714,,,,,
Central African Republic,CAF,2006,,79582,73340,169001,95186,,,,115472
Chad,TCD,2006,,175262,214696,495525,170880,,,,245367
Chile,CHL,2006,216740,214458,214458,230446,207614,214458,207614,,223584
China,CHN,2006,14753462,15077714,15239840,16455182,15077714,,,,14915588
Colombia,COL,2006,747181,747181,755215,804668,763249,747181,763249,,771283
Comoros,COM,2006,12964,12964,12964,19524,12401,,,,15783
Congo,COG,2006,,92523,92523,134386,77314,,,,106465
Cook Islands,COK,2006,303,303,303,310,303,,303,,303
Costa Rica,CRI,2006,63977,64704,64704,71740,65431,63977,65431,,69066
Cote d'Ivoire,CIV,2006,542095,542095,535054,793977,513934,,,,542095
Croatia,HRV,2006,,41416,41416,41382,40985,41416,40985,,42711
Cuba,CUB,2006,114056,114056,126871,127060,123027,124308,123027,,126871
Curacao,CUW,2006,,,,2030,,,,,
Cyprus,CYP,2006,11396,11886,11886,12345,10661,11029,10661,,
Czechia,CZE,2006,97820,97820,97820,103951,96822,96822,96822,,98818
Democratic Republic of Congo,COD,2006,,1385245,1385245,2463323,1407588,,,,1608672
Denmark,DNK,2006,,60554,60554,64858,58601,60554,58601,,
Djibouti,DJI,2006,,17060,17060,24256,15876,,,,20852
Dominica,DMA,2006,76,1031,1042,1052,1052,76,1052,,1074
Dominican Republic,DOM,2006,167778,177765,175768,199922,161786,159789,161786,,189749
East Timor,TLS,2006,,20858,20527,33395,20196,,,,24500
Ecuador,ECU,2006,299995,299995,287495,317574,303120,293745,303120,,309370
Egypt,EGY,2006,1930820,1930820,1930820,2121751,1930820,,1911117,,1950522
El Salvador,SLV,2006,114732,114732,114732,118844,117122,114732,117122,29878,111146
Equatorial Guinea,GNQ,2006,,13938,16059,36318,14241,,,,21816
Eritrea,ERI,2006,92083,92083,92083,93163,92083,,,,96981
Estonia,EST,2006,13429,13429,13429,14590,13571,12440,13571,,13995
Eswatini,SWZ,2006,28528,26687,26994,32706,28528,,,,28834
Ethiopia,ETH,2006,,1341494,1720612,3136687,1283168,,,,1924752
Europe (UN),,2006,,,,7585556,,,,,
Falkland Islands,FLK,2006,,,,37,,,,,
Faroe Islands,FRO,2006,,,,707,,,,,
Fiji,FJI,2006,20084,19881,19881,20855,18664,20084,18664,,20084
Finland,FIN,2006,,56169,56169,58265,56169,56748,56169,,56748
